sentence,relation
Data on coffee consumption 20 years prior to the diagnosis of cancer were obtained from the next of kin of 662 cases of pancreas cancer and 1770 referent (stomach colon and rectum) cancers . ,Negative
Data on coffee consumption 20 years prior to the diagnosis of cancer were obtained from the next of kin of 662 cases of pancreas cancer and 1770 referent (stomach colon and rectum) cancers . ,Negative
The results were expressed as crude and age- gender- and tobacco smoking-adjusted odds ratios and 95% confidence intervals for three daily coffee dose categories 20 years prior to cancer diagnosis. ,Negative
The results were expressed as crude and age- gender- and tobacco smoking-adjusted odds ratios and 95% confidence intervals for three daily coffee dose categories 20 years prior to cancer diagnosis. ,Negative
RESULTS: The data failed to demonstrate any association between coffee consumption and risk for pancreas cancer . ,Negative
The crude odds ratios varied between 0.7 (95% confidence interval 0.3-1.5) and 1.3 (0.7-2.6) the adjusted ones between 0.5 (0.2-1.2) and 1.1 (0.6-2.1) in the different daily dose categories of coffee and between contrasts with the three referent cancers . ,Negative
CONCLUSIONS: The results are unlikely to be negatively biased and are compatible with the majority of epidemiologic results advanced suggesting no positive association between coffee consumption and the risk of pancreas cancer . ,Negative
Past and current salted meat consumption was associated with increased risks of laryngeal cancer  after controlling for the effects of tobacco and alcohol. ,Negative
Optimal dose of garlic to inhibit dimethylhydrazine-induced colon cancer . ,Treatment_of_disease
This study was designed to investigate the optimal dose of garlic during long-term feeding and its preventive and therapeutic effects on colon cancer in rats induced by 12-dimethylhydrazine (DMH). ,Negative
The incidence of colon tumor was significantly decreased in the groups fed with 2.5% 5% and 10% garlic diets (p < 0.001). ,Treatment_of_disease
Therefore the minimal optimal dose of garlic to inhibit colon cancer was 2.5%. ,Treatment_of_disease
In a therapeutic study the tumor -inducing interval in nude mice subcutaneously injected with colon cancer cells (CC-M2) was prolonged by a 2.5% garlic diet (p < 0.01). ,Treatment_of_disease
In a therapeutic study the tumor-inducing interval in nude mice subcutaneously injected with colon cancer cells (CC-M2) was prolonged by a 2.5% garlic diet (p < 0.01). ,Treatment_of_disease
Thus smaller tumor volume and longer survival time were found in the garlic group than in the controls (p < 0.01). ,Treatment_of_disease
However the growth rate of tumors was not markedly inhibited by garlic . ,Negative
This study suggested that a 2.5% garlic dose may be used mainly as an inhibitor to prevent colon cancers and improve survival time. ,Treatment_of_disease
The evidence for soybean products as cancer preventive agents. ,Treatment_of_disease
There is much evidence suggesting that compounds present in soybeans can prevent cancer in many different organ systems. ,Treatment_of_disease
The evidence for specific soybean -derived compounds having a suppressive effect on carcinogenesis in animal model systems is limited however. ,Negative
There is evidence that the following isolated soybean derived products suppress carcinogenesis in vivo: a protease inhibitor the Bowman-Birk inhibitor inositol hexaphosphate (phytic acid) and the sterol beta-sitosterol. ,Treatment_of_disease
Other compounds that may be able to suppress carcinogenesis in animals are the soybean isoflavones. ,Treatment_of_disease
There is much evidence to suggest that diets containing large amounts of soybean products are associated with overall low cancer mortality rates particularly for cancers of the colon breast and prostate. ,Treatment_of_disease
There is much evidence to suggest that diets containing large amounts of soybean products are associated with overall low cancer mortality rates particularly for cancers of the colon breast and prostate . ,Treatment_of_disease
There is much evidence to suggest that diets containing large amounts of soybean products are associated with overall low cancer mortality rates particularly for cancers of the colon breast and prostate. ,Treatment_of_disease
There is much evidence to suggest that diets containing large amounts of soybean products are associated with overall low cancer mortality rates particularly for cancers of the colon  breast and prostate. ,Treatment_of_disease
It is believed that supplementation of human diets with certain soybean products shown to suppress carcinogenesis in animals could markedly reduce human cancer mortality rates. ,Treatment_of_disease
It is believed that supplementation of human diets with certain soybean products shown to suppress carcinogenesis in animals could markedly reduce human cancer mortality rates. ,Treatment_of_disease
Detection and cloning of potent transforming gene(s) from chewing tobacco -related human oral carcinomas . ,Cause_of_disease
The lack of association of the nude mice tumour DNA with myc/ras/EGF-R showing aberrations in the primary human tumour implies activation of an alternative potent transforming gene(s) in the chewing tobacco -related oral carcinomas in India. ,Negative
The lack of association of the nude mice tumour DNA with myc/ras/EGF-R showing aberrations in the primary human tumour  implies activation of an alternative potent transforming gene(s) in the chewing tobacco -related oral carcinomas in India. ,Negative
The lack of association of the nude mice tumour DNA with myc/ras/EGF-R showing aberrations in the primary human tumour implies activation of an alternative potent transforming gene(s) in the chewing tobacco -related oral carcinomas in India. ,Cause_of_disease
Policy advocacy strategies have proven themselves effective in cancer prevention efforts involving tobacco use and nutrition. ,Negative
After injection of garlic oil in tumor focus a large amount of neutrophils macrophages and lymphocytes appeared. ,Treatment_of_disease
This result showed that garlic oil could induce neutrophils and macrophages against tumor . ,Treatment_of_disease
Induced cytotoxicity and cell proliferation in the hepatocarcinogenicity of chloroform in female B6C3F1 mice: comparison of administration by gavage in corn oil vs ad libitum in drinking water. ,Negative
Chloroform increases the incidence of liver tumors in B6C3F1 mice when administered in by gavage in corn oil but not when given in the drinking water at similar daily doses. ,Negative
Dose-dependent changes included centrilobular necrosis and markedly elevated LI in mice given 238 or 477 mg/kg chloroform in corn oil (the average daily doses that produced tumors in the cancer bioassay). ,Negative
Dose-dependent changes included centrilobular necrosis and markedly elevated LI in mice given 238 or 477 mg/kg chloroform in corn oil (the average daily doses that produced tumors in the cancer bioassay). ,Negative
Dose-dependent changes included centrilobular necrosis and markedly elevated LI in mice given 238 or 477 mg/kg chloroform in corn oil (the average daily doses that produced tumors in the cancer bioassay). ,Negative
The sustained increase in LI in the livers of mice administered hepatocarcinogenic doses of chloroform in corn oil but not for chloroform in drinking water is evidence that chloroform-induced mouse liver cancer is secondary to events associated with induced cytolethality and cell proliferation. ,Negative
The sustained increase in LI in the livers of mice administered hepatocarcinogenic doses of chloroform in corn oil but not for chloroform in drinking water is evidence that chloroform-induced mouse liver cancer is secondary to events associated with induced cytolethality and cell proliferation. ,Negative
Preventive action of garlic on aflatoxin B1-induced carcinogenesis in the toad Bufo regularis. ,Treatment_of_disease
The action of fresh minced garlic and garlic oil on aflatoxin B1- (AFB1) induced carcinogenesis in the toad Bufo regularis was studied. ,Negative
The action of fresh minced garlic and garlic oil on aflatoxin B1- (AFB1) induced carcinogenesis in the toad Bufo regularis was studied. ,Negative
Animals given AFB1 together with fresh garlic or garlic oil showed a significant reduction in tumor incidence. ,Treatment_of_disease
Animals given AFB1 together with fresh garlic or garlic oil showed a significant reduction in tumor incidence. ,Treatment_of_disease
The tumor incidences were 3% and 9% in animals given AFB1 plus garlic and AFB1 plus garlic oil respectively. ,Negative
The tumor incidences were 3% and 9% in animals given AFB1 plus garlic and AFB1 plus garlic oil respectively. ,Negative
In all three groups the tumors were located in the liver (hepatocellular carcinomas) in addition to the kidney in animals treated with AFB1 alone and together with garlic . ,Negative
In all three groups the tumors were located in the liver ( hepatocellular carcinomas ) in addition to the kidney in animals treated with AFB1 alone and together with garlic . ,Negative
It is speculated that one or more constituents of garlic may be responsible for inhibition of AFB1-induced carcinogenesis in B. regularis. ,Treatment_of_disease
Ten organosulfur compounds from garlic and onions were studied for their modifying effects on diethylnitrosamine-induced neoplasia of liver in male F344 rats using the medium-term bioassay system of Ito based on the two-step model of hepatocarcinogenesis . ,Negative
Ten organosulfur compounds from garlic and onions were studied for their modifying effects on diethylnitrosamine-induced neoplasia of liver in male F344 rats using the medium-term bioassay system of Ito based on the two-step model of hepatocarcinogenesis. ,Negative
Ten organosulfur compounds from garlic and onions were studied for their modifying effects on diethylnitrosamine-induced neoplasia of liver in male F344 rats using the medium-term bioassay system of Ito based on the two-step model of hepatocarcinogenesis . ,Negative
Ten organosulfur compounds from garlic and onions were studied for their modifying effects on diethylnitrosamine-induced neoplasia of liver in male F344 rats using the medium-term bioassay system of Ito based on the two-step model of hepatocarcinogenesis. ,Negative
In evaluating relationships between diet and cancer  it is appropriate to consider not only the possible protective role of garlic and onions but also their enhancing effects. ,Treatment_of_disease
In evaluating relationships between diet and cancer  it is appropriate to consider not only the possible protective role of garlic and onions but also their enhancing effects. ,Treatment_of_disease
We examined the risk of obstructive respiratory disease associated with tobacco smoke in indoor air independent of active smoking ambient air pollution and some of the other sources of residential indoor air pollution. ,Negative
The majority of all sixth grade students surveyed were aware of the health risks of smokeless tobacco use in that it is an increased risk for cancer . ,Cause_of_disease
Alcohol and tobacco habits have been identified as strong risk factors for esophageal cancer . ,Cause_of_disease
This study examined whether they may prevent the occurrence of upper aerodigestive cancer in subjects heavily exposed to tobacco smoking such as patients already cured of an early-stage lung cancer . ,Negative
This study examined whether they may prevent the occurrence of upper aerodigestive cancer in subjects heavily exposed to tobacco smoking such as patients already cured of an early-stage lung cancer. ,Negative
CONCLUSION: Daily oral administration of high-dose vitamin A is effective in reducing the number of new primary tumors related to tobacco consumption and may improve the disease-free interval in patients curatively resected for stage I lung cancer. ,Cause_of_disease
CONCLUSION: Daily oral administration of high-dose vitamin A is effective in reducing the number of new primary tumors related to tobacco consumption and may improve the disease-free interval in patients curatively resected for stage I lung cancer . ,Negative
Here we report that genistein a soybean isoflavone strongly inhibits tumor promoter-induced H2O2 formation both in vivo and in vitro. ,Treatment_of_disease
 Garlic and its significance for the prevention of cancer in humans: a critical view. ,Treatment_of_disease
Recently published results of epidemiologic case-control studies in China and Italy on gastric carcinoma in relation to diet suggest that consuming garlic may reduce the risk of gastric cancer. ,Treatment_of_disease
Recently published results of epidemiologic case-control studies in China and Italy on gastric carcinoma in relation to diet suggest that consuming garlic may reduce the risk of gastric cancer . ,Treatment_of_disease
Chemical constituents of garlic have been tested for their inhibiting effect on carcinogenesis  using in vitro and in vivo models. ,Negative
In most experiments inhibition of tumour growth was established using fresh garlic extract garlic compounds or synthetically prepared analogs. ,Treatment_of_disease
In most experiments inhibition of tumour growth was established using fresh garlic extract garlic compounds or synthetically prepared analogs. ,Treatment_of_disease
In this review the strengths and weaknesses of the experiments are discussed and the outcomes are evaluated to assess the possible significance of garlic or garlic compounds for the prevention of cancer in humans. ,Negative
In this review the strengths and weaknesses of the experiments are discussed and the outcomes are evaluated to assess the possible significance of garlic or garlic compounds for the prevention of cancer in humans. ,Negative
However the available evidence warrants further research into the possible role of garlic in the prevention of cancer in humans. ,Treatment_of_disease
Consumption of black tea and cancer risk: a prospective cohort study. ,Negative
Despite indications from experimental studies that tea may protect against cancer  epidemiologic evidence has been inconclusive. ,Treatment_of_disease
PURPOSE: The association between black tea consumption and the subsequent risk of stomach colorectal lung and breast cancers was investigated in The Netherlands Cohort Study on Diet and Cancer among 58279 men and 62573 women aged 55-69 years. ,Negative
PURPOSE: The association between black tea consumption and the subsequent risk of stomach colorectal lung and breast cancers was investigated in The Netherlands Cohort Study on Diet and Cancer among 58279 men and 62573 women aged 55-69 years. ,Negative
PURPOSE: The association between black tea consumption and the subsequent risk of stomach colorectal lung and breast cancers was investigated in The Netherlands Cohort Study on Diet and Cancer among 58279 men and 62573 women aged 55-69 years. ,Negative
PURPOSE: The association between black tea consumption and the subsequent risk of stomach colorectal lung and breast cancers was investigated in The Netherlands Cohort Study on Diet and Cancer among 58279 men and 62573 women aged 55-69 years. ,Negative
The questionnaire data of case subjects and those of a random subcohort (n = 3500) were used to calculate rate ratios (RRs) of cancer in categories of consumers of black tea compared with nonconsumers. ,Negative
No association was observed between tea consumption and risk of colorectal cancer : The risk among tea drinkers in each consumption category was similar to that among nondrinkers. ,Negative
No association was observed between tea consumption and risk of colorectal cancer : The risk among tea drinkers in each consumption category was similar to that among nondrinkers. ,Negative
"The RR of breast cancer among consumers of five or more cups of tea per day was 1.3 (95% confidence interval = 0.9-2.0), no dose-response association was observed. ",Negative
In age- and sex-adjusted analyses consumption of tea was inversely associated with stomach (two-sided P for trend = .147) and lung (two-sided P for trend < .001) cancers . ,Negative
When smoking and dietary factors were taken into account tea in itself did not appear to protect against stomach and lung cancers : The RRs in all consumption categories were close to unity. ,Negative
When smoking and dietary factors were taken into account tea in itself did not appear to protect against stomach and lung cancers : The RRs in all consumption categories were close to unity. ,Negative
Analysis of the tea and cancer relationship in a subgroup that included subjects in the lowest two quintiles of consumption of vegetables and fruits also failed to reveal a protective effect of tea consumption on the risk of three cancer types studied (colorectal lung and breast cancers). ,Negative
Analysis of the tea and cancer relationship in a subgroup that included subjects in the lowest two quintiles of consumption of vegetables and fruits also failed to reveal a protective effect of tea consumption on the risk of three cancer types studied (colorectal lung and breast cancers ). ,Negative
Analysis of the tea and cancer relationship in a subgroup that included subjects in the lowest two quintiles of consumption of vegetables and fruits also failed to reveal a protective effect of tea consumption on the risk of three cancer types studied (colorectal lung and breast cancers). ,Negative
Analysis of the tea and cancer relationship in a subgroup that included subjects in the lowest two quintiles of consumption of vegetables and fruits also failed to reveal a protective effect of tea consumption on the risk of three cancer types studied ( colorectal lung and breast cancers ). ,Negative
Analysis of the tea and cancer relationship in a subgroup that included subjects in the lowest two quintiles of consumption of vegetables and fruits also failed to reveal a protective effect of tea consumption on the risk of three cancer types studied (colorectal lung and breast cancers ). ,Negative
Analysis of the tea and cancer relationship in a subgroup that included subjects in the lowest two quintiles of consumption of vegetables and fruits also failed to reveal a protective effect of tea consumption on the risk of three cancer types studied (colorectal lung and breast cancers). ,Negative
Analysis of the tea and cancer relationship in a subgroup that included subjects in the lowest two quintiles of consumption of vegetables and fruits also failed to reveal a protective effect of tea consumption on the risk of three cancer types studied (colorectal lung and breast cancers ). ,Negative
Analysis of the tea and cancer relationship in a subgroup that included subjects in the lowest two quintiles of consumption of vegetables and fruits also failed to reveal a protective effect of tea consumption on the risk of three cancer types studied (colorectal lung and breast cancers). ,Negative
Analysis of the tea and cancer relationship in a subgroup that included subjects in the lowest two quintiles of consumption of vegetables and fruits also failed to reveal a protective effect of tea consumption on the risk of three cancer types studied ( colorectal lung and breast cancers ). ,Negative
Analysis of the tea and cancer relationship in a subgroup that included subjects in the lowest two quintiles of consumption of vegetables and fruits also failed to reveal a protective effect of tea consumption on the risk of three cancer types studied (colorectal lung and breast cancers ). ,Negative
"CONCLUSIONS: This investigation does not support the hypothesis that consumption of black tea protects against four of the major cancers in humans, a cancer-enhancing effect was not evident either. ",Negative
"CONCLUSIONS: This investigation does not support the hypothesis that consumption of black tea protects against four of the major cancers in humans, a cancer -enhancing effect was not evident either. ",Negative
[3 different malignancies of the aerodigestive tract after chronic abuse of cannabis products]. ,Negative
The occurrence of multilocular malignant tumors in the upper aerodigestive tract in young patients with known marijuana abuse has been described by other authors. ,Cause_of_disease
This case is the first reported that shows the occurrence of three separate malignant tumors with different histologies in the aerodigestive tract which could be related to a chronic abuse of cannabis . ,Cause_of_disease
Consumption of corn contaminated at these high levels has been associated with a high incidence of esophageal cancer in these areas. ,Cause_of_disease
 Tobacco -related cancers in Madras India. ,Cause_of_disease
 Tobacco -related cancer (TRC) cases constitute 48.2% in men and 20.1% in women of the total cancers seen in India per year. ,Cause_of_disease
 Tobacco -related cancer (TRC) cases constitute 48.2% in men and 20.1% in women of the total cancers seen in India per year. ,Negative
The feeding of the Lactobacillus GG before and during carcinogen treatment resulted in a significant decrease in the incidence of colon tumors and the number of small intestinal and colon tumors per tumor-bearing animal for rats fed a 20% corn oil diet. ,Negative
The feeding of the Lactobacillus GG before and during carcinogen treatment resulted in a significant decrease in the incidence of colon tumors and the number of small intestinal and colon tumors per tumor -bearing animal for rats fed a 20% corn oil diet. ,Negative
The feeding of the Lactobacillus GG before and during carcinogen treatment resulted in a significant decrease in the incidence of colon tumors and the number of small intestinal and colon tumors per tumor-bearing animal for rats fed a 20% corn oil diet. ,Negative
"Animals fed a 5% corn oil diet had a lower tumor incidence and number of tumors resulting from the decrease in dietary fat, in addition the feeding of Lactobacillus GG before the carcinogen challenge resulted in a lower incidence of colon tumors. ",Treatment_of_disease
"Animals fed a 5% corn oil diet had a lower tumor incidence and number of tumors resulting from the decrease in dietary fat, in addition the feeding of Lactobacillus GG before the carcinogen challenge resulted in a lower incidence of colon tumors . ",Negative
"Animals fed a 5% corn oil diet had a lower tumor incidence and number of tumors resulting from the decrease in dietary fat, in addition the feeding of Lactobacillus GG before the carcinogen challenge resulted in a lower incidence of colon tumors. ",Treatment_of_disease
The importance of the pecan tree pollen in allergic manifestations. ,Cause_of_disease
OBJECTIVE: To study the role of pecan tree pollen in the development of allergy . ,Negative
Of the pecan atopics 65.2% had clinical symptoms coinciding only with the pecan pollen season and an additional 10.9% had perennial symptoms. ,Cause_of_disease
CONCLUSION: Pecan tree releases highly allergenic pollen grains which are correlated to the incidence of hay fever in the exposed population. ,Cause_of_disease
In children the pecan tree constitutes a possible etiologic agent for the development of asthma . ,Cause_of_disease
[Effectiveness of Oleum menthae piperitae and paracetamol in therapy of headache of the tension type]. ,Treatment_of_disease
The effect of a locally applied peppermint oil preparation on tension-type headache was examined in the design of a randomized placebo-controlled double-blind crossover study for the first time. ,Negative
Each headache attack was treated by the application of 2 capsules of the oral medication (1000 mg of acetaminophen or placebo) and the cutaneous application of the oil preparation ( peppermint oil or placebo solution). ,Negative
Compared to the application of placebo a 10% peppermint oil in ethanol solution significantly reduced the clinical headache intensity already after 15 minutes (p < 0.01). ,Treatment_of_disease
This controlled study showed for the first time that a 10% peppermint oil in ethanol solution efficiently alleviates tension-type headache . ,Treatment_of_disease
